Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Estonia,Natural gas,Total final consumption (ktoe),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,439,457,302,194,268,298,306,305,319,276,277,321,209,336,373,380,390,386,349,197,207,204,229,319,224,222,252,236,252
Estonia,Nuclear,Total final consumption (ktoe),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Renewables and waste,Total final consumption (ktoe),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,188,187,184,180,210,282,543,524,416,427,425,436,442,481,484,447,404,491,536,518,561,507,488,540,506,499,433,447,473
Estonia,Electricity,Total final consumption (ktoe),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,585,577,494,390,412,392,420,444,443,415,431,444,459,481,508,519,558,584,602,572,594,570,600,586,594,589,628,622,644
Estonia,Heat,Total final consumption (ktoe),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2086,2125,1407,1075,1003,593,625,645,567,559,511,502,514,490,522,547,539,520,509,494,532,475,491,466,439,431,472,476,482
Estonia,Total,Total final consumption (ktoe),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5671,5348,3536,2992,3004,2704,3144,3061,2833,2570,2583,2818,2730,2864,2990,3050,3060,3259,3242,2848,2976,2882,2936,3024,2893,2846,2897,2932,3004
Finland,"Coal, peat and oil shale",Total final consumption (ktoe),844,1086,1067,1154,886,882,890,906,985,1115,1194,1303,1325,1356,1461,1389,1536,1461,1651,1564,1408,1393,1335,1460,1264,1105,1129,1317,1196,981,959,927,884,839,814,814,767,751,619,812,731,611,538,551,547,589,555,581
Finland,"Crude, NGL and feedstocks",Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Oil products,Total final consumption (ktoe),9056,10160,11259,9937,9891,10145,10201,10372,10597,10006,9489,9185,8766,8555,8163,8978,9356,9450,9402,9292,9370,9266,8694,9088,8427,8123,8147,8372,8233,8263,8384,8439,8638,8616,8576,8538,8701,8223,7721,8151,7747,7593,7877,7496,7246,7780,7409,7502
Finland,Natural gas,Total final consumption (ktoe),0,0,0,346,476,522,479,511,516,431,437,396,428,498,493,530,759,754,1007,961,1041,1081,1040,1172,1008,1008,962,1239,1187,918,938,877,863,876,852,895,920,847,724,825,775,727,725,694,635,630,735,710
